comparison,metric,point_delta,bootstrap_mean,bootstrap_sd,ci95_lower_percentile,ci95_upper_percentile,ci_classification,bootstrap_fraction_le_zero,bootstrap_fraction_ge_zero,B,block_days,seed
M1-M0,MAE,-2.0606498590643127,-1.4570726335118678,2.4735319082919367,-6.420673479625992,3.3617035657273964,CI_INCLUDES_ZERO,0.722,0.278,5000,7,20260822
M1-M0,RMSE,-6.885779744899708,-5.191394320626665,5.469399655042557,-16.231173575802572,5.1939326965565265,CI_INCLUDES_ZERO,0.8264,0.1736,5000,7,20260822
M1-M0,DEVIANCE,-0.7389020459356885,-0.2715507152858318,1.6780421293993173,-3.674714238511118,3.0206986841097545,CI_INCLUDES_ZERO,0.5618,0.4382,5000,7,20260822
M2-M0,MAE,-2.111675140418896,-1.6799559967214799,5.228649041028758,-11.40401145816258,8.923253637900787,CI_INCLUDES_ZERO,0.6314,0.3686,5000,7,20260822
M2-M0,RMSE,-12.981953631615397,-11.63046266181646,11.055003286025357,-32.4926340847777,10.532781266758702,CI_INCLUDES_ZERO,0.8488,0.1512,5000,7,20260822
M2-M0,DEVIANCE,-4.09488262959907,-3.7792364585646503,3.414239884786511,-10.316797707621445,2.957050420665499,CI_INCLUDES_ZERO,0.864,0.136,5000,7,20260822
M2-M1,MAE,-0.051025281354583285,-0.22288336320961225,4.734621769020982,-9.386885792251565,9.319833436753624,CI_INCLUDES_ZERO,0.5282,0.4718,5000,7,20260822
M2-M1,RMSE,-6.09617388671569,-6.439068341189796,9.559293372204944,-24.973291922878243,12.686568711166851,CI_INCLUDES_ZERO,0.7504,0.2496,5000,7,20260822
M2-M1,DEVIANCE,-3.3559805836633814,-3.5076857432788193,3.1109472839749737,-9.825406499841565,2.458934376377186,CI_INCLUDES_ZERO,0.8682,0.1318,5000,7,20260822
