date,n_units,n_rows,M0_MAE_day,M0_MSE_day,M0_deviance_day,M1_MAE_day,M1_MSE_day,M1_deviance_day,M2_MAE_day,M2_MSE_day,M2_deviance_day,M1_minus_M0_MAE_day,M1_minus_M0_MSE_day,M1_minus_M0_deviance_day,M2_minus_M0_MAE_day,M2_minus_M0_MSE_day,M2_minus_M0_deviance_day,M2_minus_M1_MAE_day,M2_minus_M1_MSE_day,M2_minus_M1_deviance_day
2025-01-01,11,11,248.8868322088024,172867.06869974354,88.86936104418349,254.02833678893612,147354.21823285634,90.00615670470141,290.764545707824,212883.93444305097,115.15510963318539,5.141504580133727,-25512.850466887205,1.1367956605179188,41.87771349902164,40016.865743307426,26.285748589001898,36.73620891888791,65529.71621019463,25.14895292848398
2025-01-02,11,11,136.27418516083833,78042.54873715516,32.367617571560906,150.82229332593656,86013.96761809195,36.90298041993877,163.99856331927106,112382.63616268114,46.469720599594304,14.548108165098228,7971.4188809367915,4.535362848377865,27.724378158432728,34340.087425525984,14.102103028033397,13.1762699933345,26368.668544589193,9.566740179655532
2025-01-03,11,11,107.37061195663995,51029.56869584715,22.113539708475376,127.73833080923974,41728.688878906054,26.489970426683204,134.17368640031847,67741.22440679368,31.418352407593407,20.367718852599793,-9300.879816941095,4.376430718207828,26.803074443678526,16711.655710946536,9.304812699118031,6.435355591078732,26012.53552788763,4.928381980910203
2025-01-04,11,11,101.25967474496646,39048.59688106904,16.20607653211655,113.06361524898972,40325.93179866378,20.602508234661773,126.85180513261626,56707.63829689429,26.83817549819903,11.80394050402326,1277.3349175947442,4.396431702545222,25.592130387649803,17659.041415825253,10.632098966082477,13.788189883626544,16381.70649823051,6.235667263537255
2025-01-05,11,11,171.49118321385265,94335.4585237337,42.87380732056859,76.74052795618057,13563.922366937128,9.926040897836925,143.93636858397252,63996.80928407365,32.97550680164336,-94.75065525767208,-80771.53615679657,-32.94776642273166,-27.554814629880127,-30338.64923966005,-9.898300518925225,67.19584062779195,50432.88691713652,23.049465903806436
2025-01-06,11,11,263.55546271462646,233303.9396735331,101.37860601942289,180.82088297714273,97200.49426961075,55.2008030106488,210.44285815657042,151468.37114750897,75.25974847698676,-82.73457973748373,-136103.44540392235,-46.17780300877409,-53.112604558056034,-81835.56852602414,-26.118857542436132,29.621975179427693,54267.87687789822,20.05894546633796
2025-01-07,11,11,302.23931653223946,315326.9599422486,135.24862235563526,306.68755060476065,316928.590127748,139.0537955991795,267.7248613832499,258804.80449779614,117.20237615959567,4.448234072521188,1601.6301854993799,3.805173243544232,-34.514455148989555,-56522.15544445245,-18.04624619603959,-38.96268922151074,-58123.78562995183,-21.85141943958382
2025-01-08,11,11,277.89009575749236,265997.7596917202,120.57890522737203,288.3286405801458,276841.70422594924,127.57864327019689,256.5465464282917,232963.6709540574,111.32956804492436,10.438544822653455,10843.944534229056,6.999738042824859,-21.34354932920064,-33034.088737662794,-9.249337182447675,-31.782094151854096,-43878.03327189185,-16.249075225272534
2025-01-09,11,11,257.1427783846424,207187.2222583364,104.36760427678536,223.09754852536443,175592.51869441557,86.99176947454595,222.7794796483445,175711.31528225704,91.03601365841895,-34.04522985927795,-31594.703563920833,-17.37583480223941,-34.36329873629788,-31475.906976079365,-13.331590618366405,-0.31806887701992537,118.79658784146886,4.044244183873005
2025-01-10,11,11,243.85301052248084,192589.96946124415,103.76163251950244,190.0617720737435,100313.87813630336,66.7409635062419,199.82846596269107,135609.44164395914,80.33836347900346,-53.791238448737346,-92276.09132494079,-37.020669013260544,-44.024544559789774,-56980.52781728501,-23.42326904049898,9.766693888947572,35295.56350765578,13.597399972761565
2025-01-11,11,11,272.3218729970468,208356.71020864445,111.23950355316515,191.37285073266727,100256.73009285632,60.14921955055979,203.80312237449752,123465.17334926128,70.4527350167068,-80.94902226437952,-108099.98011578813,-51.09028400260536,-68.51875062254928,-84891.53685938317,-40.786768536458354,12.430271641830245,23208.443256404964,10.303515466147005
2025-01-12,11,11,313.3742404763244,273536.88712032116,141.66114122143884,246.01113693219875,193568.7376240236,98.34756345784744,223.14640784575195,162892.9276579025,87.48743907090515,-67.36310354412566,-79968.14949629756,-43.3135777635914,-90.22783263057246,-110643.95946241866,-54.173702150533686,-22.8647290864468,-30675.8099661211,-10.860124386942289
2025-01-13,11,11,360.0700608374672,354088.5656079953,181.63484181539437,346.6754312460995,334989.34412627784,171.53203822221198,272.30414433382595,226828.28737278524,122.3170699574357,-13.394629591367732,-19099.221481717483,-10.102803593182387,-87.76591650364128,-127260.27823521008,-59.31777185795866,-74.37128691227355,-108161.0567534926,-49.214968264776275
2025-01-14,11,11,382.95956619232226,392932.33045802865,211.3757430693083,380.1183802426722,335423.1462179127,205.16717299418963,305.4917763014191,254438.6493525671,147.9189844963266,-2.8411859496500824,-57509.18424011592,-6.208570075118672,-77.46778989090313,-138493.68110546155,-63.4567585729817,-74.62660394125305,-80984.49686534563,-57.248188497863026
2025-01-15,11,11,343.64758670237006,312184.4342257744,174.40749564465406,326.00063331821923,278614.3317915757,160.8041752071125,269.7143645237058,220840.857059972,127.76085325688847,-17.646953384150834,-33570.10243419872,-13.603320437541555,-73.93322217866427,-91343.57716580242,-46.646642387765596,-56.28626879451343,-57773.474731603696,-33.04332195022404
2025-01-16,11,11,341.06688823768343,331494.75657028257,186.36350498976265,267.7872814118046,171026.51586667725,122.11800603291157,243.32317574339476,175076.0891219201,112.96975223599169,-73.27960682587883,-160468.24070360532,-64.24549895685108,-97.74371249428867,-156418.66744836248,-73.39375275377095,-24.464105668409843,4049.573255242838,-9.148253796919875
2025-01-17,11,11,317.19859477387575,274289.00331355265,171.93147406825136,328.219623605251,266418.4493979704,179.1705228379724,253.41795310808448,175245.55566236094,121.22039391147973,11.021028831375247,-7870.553915582248,7.239048769721052,-63.78064166579128,-99043.4476511917,-50.71108015677163,-74.80167049716653,-91172.89373560945,-57.95012892649268
2025-01-18,11,11,325.0433866382445,277813.05921752827,163.45928867906116,362.47589677924884,338478.0339714673,195.52333519495778,273.38212583247474,198207.1771658116,124.92716162631937,37.43251014100434,60664.97475393902,32.06404651589662,-51.66126080576976,-79605.88205171668,-38.532127052741785,-89.0937709467741,-140270.8568056557,-70.5961735686384
2025-01-19,11,11,370.61315340605427,315946.8818957609,199.30458292483655,391.91082370046365,362015.00756673963,219.157132541884,321.7292582618515,241069.08989177897,159.83722789884973,21.297670294409386,46068.12567097874,19.85254961704746,-48.88389514420277,-74877.79200398191,-39.46735502598682,-70.18156543861215,-120945.91767496066,-59.31990464303428
2025-01-20,11,11,377.6618641240042,369276.9327034746,199.9033452140053,377.5617390085036,360405.26256072853,200.07834337687018,323.560130345669,276192.9898773497,158.02183778401107,-0.10012511550058889,-8871.670142746065,0.17499816286488112,-54.10173377833519,-93083.9428261249,-41.88150742999423,-54.0016086628346,-84212.27268337883,-42.05650559285911
2025-01-21,11,11,407.425212830831,435106.4157640818,239.02051214669436,432.37873300444284,486649.33517896495,263.73425718834216,364.9887400935675,359693.68403077574,205.10264213974943,24.95352017361182,51542.91941488313,24.713745041647798,-42.4364727372635,-75412.73173330608,-33.91787000694492,-67.38999291087532,-126955.65114818921,-58.63161504859272
2025-01-22,11,11,399.4742893991552,422632.95536981913,245.07262749820836,433.67526195326195,468679.0545865273,277.30759738921665,372.2965262905393,362523.34823646647,219.91441957043924,34.20097255410673,46046.09921670816,32.23496989100829,-27.17776310861592,-60109.60713335266,-25.158207927769126,-61.37873566272265,-106155.70635006082,-57.39317781877742
2025-01-23,11,11,348.8138785330644,325951.94783658383,193.51642902968354,389.15721465744207,383042.1301755579,229.0545113488396,339.6813512211635,309980.6387329925,185.07260977720054,40.343336124377686,57090.18233897409,35.538082319156075,-9.132527311900901,-15971.30910359131,-8.443819252482996,-49.47586343627859,-73061.4914425654,-43.98190157163907
2025-01-24,11,11,327.26084554053506,270152.43345899787,180.19427650345244,312.9769418922065,205585.2853087526,166.85129730011639,309.4916890691903,227333.51510095457,164.51247756192265,-14.283903648328533,-64567.14815024528,-13.342979203336057,-17.769156471344786,-42818.9183580433,-15.681798941529792,-3.4852528230162534,21748.22979220198,-2.3388197381937346
2025-01-25,11,11,352.89803802294296,311819.15450013155,193.2072802734313,296.39630297998156,168804.13059941094,143.32635947198477,310.45735645547524,208973.65618740564,155.27941847255917,-56.5017350429614,-143015.0239007206,-49.880920801446536,-42.44068156746772,-102845.49831272592,-37.92786180087214,14.06105347549368,40169.52558799469,11.953059000574399
2025-01-26,11,11,388.1292929745025,368442.45590465446,226.881142159154,368.87130781051013,309178.33254066535,206.2686549085562,344.3354171130076,257101.62591791668,183.49636832609937,-19.257985163992373,-59264.123363989114,-20.61248725059781,-43.79387586149488,-111340.82998673778,-43.38477383305462,-24.53589069750251,-52076.706622748665,-22.772286582456815
2025-01-27,11,11,418.11254539782806,434574.94156928326,251.72753348342556,421.54880920398597,399671.59247267427,253.1822519200753,379.0255962935687,311846.2174124928,213.2887128339148,3.4362638061579105,-34903.34909660899,1.4547184366497277,-39.08694910425936,-122728.72415679047,-38.438820649510774,-42.52321291041727,-87825.37506018148,-39.8935390861605
2025-01-28,11,11,431.5153280616319,474310.18223220645,272.6312067550662,409.3483192790261,354690.2564362328,248.3188800972878,388.0670118150514,317594.6670217707,228.0165062549375,-22.16700878260582,-119619.92579597363,-24.312326657778414,-43.44831624658053,-156715.51521043573,-44.61470050012872,-21.281307463974713,-37095.5894144621,-20.302373842350306
2025-01-29,11,11,414.9846579640012,426575.2736478593,260.747423856922,387.1330345842274,349081.0900757295,231.7876224192615,366.8096650700952,285033.59074596316,212.67966396075064,-27.851623379773798,-77494.18357212981,-28.959801437660502,-48.174992893905994,-141541.68290189613,-48.06775989617137,-20.323369514132196,-64047.49932976632,-19.107958458510865
2025-01-30,11,11,387.18831338734617,370042.5968566335,238.2481719096709,404.05724553383374,407577.42032666324,255.16567489221015,349.2978386738854,264570.5975631327,201.4046085107092,16.868932146487566,37534.82347002975,16.917502982539247,-37.890474713460776,-105471.99929350079,-36.84356339896169,-54.75940685994834,-143006.82276353054,-53.76106638150094
2025-01-31,11,11,360.5798937643442,319422.5509640566,223.48927268182118,383.52343811381184,356534.1123060245,247.4535495119875,335.9472569099233,247679.51558210113,202.22247861066725,22.94354434946763,37111.5613419679,23.964276830166312,-24.632636854420923,-71743.03538195544,-21.266794071153925,-47.57618120388855,-108854.59672392334,-45.23107090132024
2025-02-01,11,11,403.7067505307456,380821.6400860818,257.37225761644027,390.80641616200717,333470.692547577,243.11487270749384,371.89057575697876,282278.0634731512,224.64490519805003,-12.900334368738413,-47350.947538504784,-14.25738490894642,-31.816174773766818,-98543.57661293063,-32.72735241839024,-18.915840405028405,-51192.629074425844,-18.46996750944382
