scope,unit,model,n,MAE,RMSE,mean_poisson_deviance,mean_error,observed_mean,predicted_mean
POOLED,,M0,4015,232.13639990683205,397.1462374813084,84.82577713648038,-8.214897141832902,1104.5036114570362,1096.2887143152032
POOLED,,M1,4015,230.07575004776777,390.26045773640874,84.08687509054468,-10.81549202874329,1104.5036114570362,1093.6881194282926
POOLED,,M2,4015,230.0247247664132,384.1642838496931,80.73089450688131,-16.24110233516079,1104.5036114570362,1088.2625091218752
UNIT,10,M0,365,235.61731317263815,287.1355129365339,104.00499237826546,-148.34623876367294,843.8191780821918,695.4729393185189
UNIT,10,M1,365,230.0967720534622,283.0654743815684,102.77565950179695,-125.10786813408757,843.8191780821918,718.7113099481043
UNIT,10,M2,365,217.39211255987198,259.91782259987815,86.48132245220376,-84.62347658006799,843.8191780821918,759.1957015021238
UNIT,11,M0,365,34.55966709865067,46.94942166820035,20.339244488890042,-19.43718317855987,102.6082191780822,83.17103599952233
UNIT,11,M1,365,33.879754881763695,44.737726035851225,18.60113022383717,-11.099297813715888,102.6082191780822,91.50892136436632
UNIT,11,M2,365,31.719587220598225,42.6539260373632,16.63154914349654,-8.449966859638993,102.6082191780822,94.1582523184432
UNIT,13,M0,365,891.1468649135729,1081.654140412955,315.5680470631293,188.59555241853815,4526.498630136986,4715.094182555525
UNIT,13,M1,365,857.9972172316169,1045.8921102463419,292.88814366102855,172.1014166755798,4526.498630136986,4698.600046812566
UNIT,13,M2,365,855.0948342522523,1031.478580000058,280.19973108291987,141.17214005868584,4526.498630136986,4667.670770195673
UNIT,14,M0,365,111.292948185041,130.24903268502518,42.77129259056177,-57.692394896589555,428.7698630136986,371.07746811710905
UNIT,14,M1,365,115.48786971471046,134.7466464992741,46.56949254012267,-55.901268421293416,428.7698630136986,372.86859459240526
UNIT,14,M2,365,110.15552308445474,129.56254794380212,43.101035812567574,-52.81537977179669,428.7698630136986,375.954483241902
UNIT,2,M0,365,68.96354659212982,83.99398940788846,19.35896584815527,14.748225485885692,424.26575342465753,439.0139789105433
UNIT,2,M1,365,71.00012111740341,87.2799259621837,20.89930892496755,8.70548748885676,424.26575342465753,432.97124091351424
UNIT,2,M2,365,87.39696655850277,107.81874886589016,31.24199899663123,8.670026231200165,424.26575342465753,432.9357796558577
UNIT,3,M0,365,55.08837013086853,67.61494438243864,18.09208709317074,-8.108977479230193,271.28767123287673,263.17869375364654
UNIT,3,M1,365,55.02006611044432,67.70075526793595,18.109224754263007,-7.093396935964581,271.28767123287673,264.1942742969121
UNIT,3,M2,365,61.248558187798004,74.31086967068558,22.121035469718343,-7.671502504001313,271.28767123287673,263.6161687288754
UNIT,4,M0,365,110.95965514890042,133.3722478593901,36.892283015600675,40.12933166913379,508.1808219178082,548.310153586942
UNIT,4,M1,365,110.62382648792776,134.2760719899716,37.40508839188897,31.60287639874009,508.1808219178082,539.7836983165483
UNIT,4,M2,365,116.35325408510226,142.03677913415882,42.23137503502893,20.88137901800362,508.1808219178082,529.0622009358118
UNIT,5,M0,365,227.54473023531872,274.3511708803525,68.01139067371965,58.45070755222303,1256.5945205479452,1315.0452281001685
UNIT,5,M1,365,231.3129967515356,283.8672532035625,73.14319136462463,48.54466253812762,1256.5945205479452,1305.139183086073
UNIT,5,M2,365,252.2910610717124,310.04483003789096,86.84796457015841,34.29990431947459,1256.5945205479452,1290.8944248674197
UNIT,6,M0,365,145.52723274745165,182.7685561988166,54.63131751795284,17.48228785535371,744.5068493150685,761.9891371704223
UNIT,6,M1,365,143.6557745089682,180.3693881817325,52.32194262034677,18.159424053212156,744.5068493150685,762.6662733682805
UNIT,6,M2,365,139.24427418812627,175.0309667136891,46.84798758666658,11.1510242937332,744.5068493150685,755.6578736088017
UNIT,7,M0,365,330.40258436014784,391.9290546105816,126.48196358791971,-158.00583825181403,1353.704109589041,1195.698271337227
UNIT,7,M1,365,333.7772497422182,399.3295913456198,131.148467290492,-168.36334648194784,1353.704109589041,1185.3407631070934
UNIT,7,M2,365,318.0011900432578,379.25165270321054,112.66163091733806,-190.74052012240014,1353.704109589041,1162.963589466641
UNIT,8,M0,365,342.39748639043324,414.35336492305163,126.93196424391878,-18.179340971429507,1689.304109589041,1671.1247686176114
UNIT,8,M1,365,347.9816019253948,422.3172791342543,131.09397672262324,-30.51910168368328,1689.304109589041,1658.7850079053578
UNIT,8,M2,365,341.3746111788683,406.6646450062257,119.67420850896501,-50.525753769960865,1689.304109589041,1638.77835581908
