model,train_rows,design_columns,n_iter,intercept,nonzero_slope_count_exact,max_abs_slope,l2_slope_norm,mean_predicted_rate_2025,mean_predicted_count_2025
M0,35072,27,35,-7.131560244048343,27,0.3096974076152291,0.7463057286760211,0.0007639486357101645,1096.2887143152032
M1,35072,34,52,-7.122175652454591,34,0.3059270277616404,0.7094801318222448,0.0007702523104808098,1093.6881194282926
M2,35072,54,94,-7.125891139369765,54,0.3113926248315772,0.7578633690561524,0.0007715132060147874,1088.2625091218752
