fold,level,model,tol,n_iter,n_train_rows_used,n_test_rows_used,n_scientific_predictors,n_design_columns,count_MAE,count_RMSE,count_mean_poisson_deviance,observed_count_mean,predicted_count_mean
0,0,M0,1e-10,32,11680,1440,6,27,129.55661232273803,225.2707330595877,48.52371338503686,541.1541666666667,490.45289096355265
0,1,M1,1e-10,42,11680,1440,13,34,129.71477184163007,223.49385447634234,48.44713688588224,541.1541666666667,493.5750449025991
0,2,M2,1e-10,86,11680,1440,33,54,149.96008961236458,310.0822423481718,59.19891783296579,541.1541666666667,576.5144160024421
0,3,M3,1e-10,166,11680,1440,48,69,96.11491105829535,161.82765331188585,28.773823183115155,541.1541666666667,510.4659171749914
1,0,M0,1e-10,30,11680,1440,6,27,169.74713329169762,300.7536739554218,58.07906083169974,672.3798611111112,789.6158767282767
1,1,M1,1e-10,48,11680,1440,13,34,175.1711871510171,317.62684194966886,60.1020491143694,672.3798611111112,790.2590210438406
1,2,M2,1e-10,79,11680,1440,33,54,227.88436619065777,491.5540742631166,90.4816854496968,672.3798611111112,869.9247286455984
1,3,M3,1e-10,172,11680,1440,48,69,110.67167744030733,211.13463969221277,28.295303572711422,672.3798611111112,698.225638344364
