fold,level,model,tol,design_column,coefficient,intercept
0,0,M0,1e-10,sin1,0.00886069129394703,-7.50442466829258
0,0,M0,1e-10,cos1,-0.3287942231920078,-7.50442466829258
0,0,M0,1e-10,sin2,-0.04721333761598388,-7.50442466829258
0,0,M0,1e-10,cos2,-0.06337978239298825,-7.50442466829258
0,0,M0,1e-10,sin3,0.047472517078757014,-7.50442466829258
0,0,M0,1e-10,cos3,0.01949964078834507,-7.50442466829258
0,0,M0,1e-10,dow_1,-0.014553210834179943,-7.50442466829258
0,0,M0,1e-10,dow_2,-0.05248411358134623,-7.50442466829258
0,0,M0,1e-10,dow_3,-0.08276326567017148,-7.50442466829258
0,0,M0,1e-10,dow_4,-0.14064547447252387,-7.50442466829258
0,0,M0,1e-10,dow_5,0.0011087713866296488,-7.50442466829258
0,0,M0,1e-10,dow_6,0.024738747996228265,-7.50442466829258
0,0,M0,1e-10,unit_10,0.115671983283901,-7.50442466829258
0,0,M0,1e-10,unit_11,0.005545448473230505,-7.50442466829258
0,0,M0,1e-10,unit_12,0.10261953682362394,-7.50442466829258
0,0,M0,1e-10,unit_13,-0.15768687473580079,-7.50442466829258
0,0,M0,1e-10,unit_14,0.1808959511281074,-7.50442466829258
0,0,M0,1e-10,unit_15,-0.08966372942060019,-7.50442466829258
0,0,M0,1e-10,unit_16,-0.044121749521025246,-7.50442466829258
0,0,M0,1e-10,unit_2,-0.14130424476819453,-7.50442466829258
0,0,M0,1e-10,unit_3,0.10418218118771506,-7.50442466829258
0,0,M0,1e-10,unit_4,-0.15555048142968117,-7.50442466829258
0,0,M0,1e-10,unit_5,-0.20378078870928856,-7.50442466829258
0,0,M0,1e-10,unit_6,-0.10242884556759232,-7.50442466829258
0,0,M0,1e-10,unit_7,0.17285701780880375,-7.50442466829258
0,0,M0,1e-10,unit_8,0.31872462046208966,-7.50442466829258
0,0,M0,1e-10,unit_9,-0.343108030273843,-7.50442466829258
0,1,M1,1e-10,sin1,0.05087511180792717,-7.491134186877691
0,1,M1,1e-10,cos1,-0.2664183813354104,-7.491134186877691
0,1,M1,1e-10,sin2,-0.032295926255613575,-7.491134186877691
0,1,M1,1e-10,cos2,-0.05129512562577532,-7.491134186877691
0,1,M1,1e-10,sin3,0.05412177441298718,-7.491134186877691
0,1,M1,1e-10,cos3,0.01164624293433528,-7.491134186877691
0,1,M1,1e-10,tmean_z,-0.11784007850140966,-7.491134186877691
0,1,M1,1e-10,heat_z,-0.02919270014968654,-7.491134186877691
0,1,M1,1e-10,cold_z,-0.027509117099392053,-7.491134186877691
0,1,M1,1e-10,precip_z,0.0105817732722266,-7.491134186877691
0,1,M1,1e-10,heavy_precip_z,-0.039319236279717715,-7.491134186877691
0,1,M1,1e-10,dewpoint_depression_z,0.07681686624247165,-7.491134186877691
0,1,M1,1e-10,vulnerability_index_z,-0.056455073274981754,-7.491134186877691
