level,model,n_test_rows,count_MAE,count_RMSE,count_mean_poisson_deviance,observed_count_mean,predicted_count_mean
0,M0,2880,149.6518728072178,265.70629986028575,53.3013871083683,606.7670138888889,640.0343838459147
1,M1,2880,152.44297949632357,274.6236640528383,54.27459300012582,606.7670138888889,641.9170329732198
2,M2,2880,188.92222790151115,410.9600983941993,74.8403016413313,606.7670138888889,723.2195723240202
3,M3,2880,103.39329424930135,188.10372863714375,28.53456337791329,606.7670138888889,604.3457777596777
